Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfCharacteristics,PrevGenCountOfCharacteristics,ChangeInCharacteristics,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,CountOfMismatches,PrevGenCountOfMismatches,ChangeInMismatches,ExpTransformerIsSyntaxFree
10543:10701-Analysis-FREE,10701,Generation-6,10688,Generation-5,10543,4,4,0.00,1,1,0.00000,0,0,0,1
10544:10544-Analysis-FREE,10544,Generation-1,,,10544,4,,0.00,1,,0.00000,0,,0,1
10544:10591-Analysis-FREE,10591,Generation-2,10544,Generation-1,10544,4,4,0.00,1,1,0.00000,0,0,0,1
10544:10634-Analysis-FREE,10634,Generation-3,10591,Generation-2,10544,4,4,0.00,0,1,-1.00000,0,0,0,1
10544:10666-Analysis-FREE,10666,Generation-4,10634,Generation-3,10544,4,4,0.00,1,0,1.00000,0,0,0,1
10544:10682-Analysis-FREE,10682,Generation-5,10666,Generation-4,10544,4,4,0.00,1,1,0.00000,0,0,0,1
10544:10712-Analysis-FREE,10712,Generation-6,10682,Generation-5,10544,4,4,0.00,1,1,0.00000,0,0,0,1
10545:10545-Analysis-FREE,10545,Generation-1,,,10545,4,,0.00,0,,0.00000,0,,0,1
10545:10595-Analysis-FREE,10595,Generation-2,10545,Generation-1,10545,4,4,0.00,2,0,2.00000,0,0,0,1
10545:10627-Analysis-FREE,10627,Generation-3,10595,Generation-2,10545,4,4,0.00,0,2,-2.00000,0,0,0,1
10545:10661-Analysis-FREE,10661,Generation-4,10627,Generation-3,10545,4,4,0.00,3,0,3.00000,0,0,0,1
10545:10681-Analysis-FREE,10681,Generation-5,10661,Generation-4,10545,4,4,0.00,0,3,-3.00000,0,0,0,1
10545:10718-Analysis-FREE,10718,Generation-6,10681,Generation-5,10545,4,4,0.00,3,0,3.00000,0,0,0,1
10546:10546-Analysis-FREE,10546,Generation-1,,,10546,4,,0.00,1,,0.00000,0,,0,1
10546:10584-Analysis-FREE,10584,Generation-2,10546,Generation-1,10546,4,4,0.00,0,1,-1.00000,0,0,0,1
10546:10629-Analysis-FREE,10629,Generation-3,10584,Generation-2,10546,4,4,0.00,1,0,1.00000,0,0,0,1
10546:10670-Analysis-FREE,10670,Generation-4,10629,Generation-3,10546,4,4,0.00,0,1,-1.00000,0,0,0,1
10546:10683-Analysis-FREE,10683,Generation-5,10670,Generation-4,10546,4,4,0.00,1,0,1.00000,0,0,0,1
10546:10703-Analysis-FREE,10703,Generation-6,10683,Generation-5,10546,4,4,0.00,4,1,3.00000,0,0,0,1
10547:10547-Analysis-FREE,10547,Generation-1,,,10547,4,,0.00,0,,0.00000,0,,0,1
10547:10589-Analysis-FREE,10589,Generation-2,10547,Generation-1,10547,5,4,1.00,0,0,0.00000,0,0,0,1
10547:10620-Analysis-FREE,10620,Generation-3,10589,Generation-2,10547,4,5,-1.00,0,0,0.00000,0,0,0,1
10547:10664-Analysis-FREE,10664,Generation-4,10620,Generation-3,10547,4,4,0.00,1,0,1.00000,0,0,0,1
10547:10697-Analysis-FREE,10697,Generation-5,10664,Generation-4,10547,4,4,0.00,0,1,-1.00000,0,0,0,1
10547:10711-Analysis-FREE,10711,Generation-6,10697,Generation-5,10547,8,4,4.00,0,0,0.00000,0,0,0,1
10548:10548-Analysis-FREE,10548,Generation-1,,,10548,4,,0.00,2,,0.00000,0,,0,1
10548:10593-Analysis-FREE,10593,Generation-2,10548,Generation-1,10548,4,4,0.00,1,2,-1.00000,0,0,0,1
10548:10628-Analysis-FREE,10628,Generation-3,10593,Generation-2,10548,4,4,0.00,1,1,0.00000,0,0,0,1
10548:10677-Analysis-FREE,10677,Generation-4,10628,Generation-3,10548,4,4,0.00,0,1,-1.00000,0,0,0,1
10548:10692-Analysis-FREE,10692,Generation-5,10677,Generation-4,10548,4,4,0.00,1,0,1.00000,0,0,0,1
10548:10707-Analysis-FREE,10707,Generation-6,10692,Generation-5,10548,4,4,0.00,0,1,-1.00000,0,0,0,1
10549:10549-Analysis-FREE,10549,Generation-1,,,10549,4,,0.00,1,,0.00000,0,,0,1
10549:10597-Analysis-FREE,10597,Generation-2,10549,Generation-1,10549,5,4,1.00,1,1,0.00000,0,0,0,1
10549:10638-Analysis-FREE,10638,Generation-3,10597,Generation-2,10549,6,5,1.00,1,1,0.00000,0,0,0,1
10549:10678-Analysis-FREE,10678,Generation-4,10638,Generation-3,10549,6,6,0.00,2,1,1.00000,0,0,0,1
10549:10693-Analysis-FREE,10693,Generation-5,10678,Generation-4,10549,6,6,0.00,2,2,0.00000,0,0,0,1
10549:10714-Analysis-FREE,10714,Generation-6,10693,Generation-5,10549,6,6,0.00,3,2,1.00000,0,0,0,1
10550:10550-Analysis-FREE,10550,Generation-1,,,10550,4,,0.00,0,,0.00000,0,,0,1
10550:10587-Analysis-FREE,10587,Generation-2,10550,Generation-1,10550,4,4,0.00,0,0,0.00000,0,0,0,1
10550:10622-Analysis-FREE,10622,Generation-3,10587,Generation-2,10550,4,4,0.00,0,0,0.00000,0,0,0,1
10550:10662-Analysis-FREE,10662,Generation-4,10622,Generation-3,10550,4,4,0.00,0,0,0.00000,0,0,0,1
